Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
Enjoying Singapore ,"Excellent property and a very convenient  location.  The hotel is close to many shopping centres and attraction sites and it is a  3 minute walk to the train station ( MRT )  . The front desk staff are extremely efficient, pleasant and helpful. The property is clean and has a fantastic  charm.The room  is spacious,   clean,  very comfortable and  equipped with all the amenities that a traveller might need. Also , the room has plenty of drawers to store your stuff.  Despite the fact that this hotel is located in the heart of the city , the rooms are very quiet and have a calming vibe every time i enter the room . Expect a free, fast-speed  internet and a TV that you can connect to your device. I just love this place and I would definitely recommend it to my friends and family .  ",50,Oct-22,Travelled as a couple,33,10,Carlton
A great holiday at the Carlton - Singapore,"We just came back from a wonderful week in Singapore, where we stayed at the Carlton. It was the first time we stay at the hotel and were pleasantly surprised! We couldn;t have asked for a better location, it's in the center with a close proximity to 2 MRT stations, surrounded by shops, walking distance to museums, and great places to dine. I was specially impressed by how friendly the staff is! The concierge Mr Ali was extremely helpful and always greeted us with a smile, gave us a map, explained where everything is and suggested places to dine in and visit. The hotel is very clean, sanitisers are located everywhere, the rooms are extremely spacious and toiletries are provided individually wrapped. We're definitely going to stay at the Carlton in our next visit to Singapore!",50,Jun-22,Undisclosed,5,2,Carlton
Gone down hill in a big way.,"I’m staying at the Carlton for 12 nights. 2 more long nights left. Always speak highly of it and it’s my preferred SG hotel as it’s so convenient. Not this time. It’s been an unpleasant long stay. Stained floors where it looks like a murder has taken place which is disgusting. Moisture stained/damaged roof, moisture dripping down all over the wall. No hot water in the shower morning or night regardless of the time. Room generally smells like a damp musty dungeon. Everything in the room feels moist and sticky. Wi-Fi that intermittently works. Room service that was cold and missing the key component of the meal. Pool area and bar that shuts at 7pm. I can appreciate that it was Grand Prix week but this a 5 star hotel at $300 a night in what is supposed to be the “premier wing”. If the basics aren’t done right it’s completely unforgivable. The rooms need just as much attention as the nice looking lobby. Wish I could get some of my $4,000 back. Hostel would have been a better option at least I could have gotten a hot shower.…",20,Oct-22,Travelled solo,33,10,Carlton
Excellent hotel,"Excellent. Dad and 2 teenage sons stayed 5 nights for the F1 GP.  Requested rooms to be close by and twin beds in one room.  Ended up getting adjoining rooms which was fantastic.  Rooms spacious, clean and comfortable.  Staff very friendly and helpful.  Made good use of the Gym and pool.  Breakfast was excellent. Good location and easy to get around from there.  Will definitely stay here when next in Singapore.",50,Oct-22,Travelled with family,18,41,Carlton
Business,"Clean hotel, but check-in was an issue. When we finally got into our room 12.30 am. We tried to make a call to get a drink or milk, no one answered the phones for over 20 minutes. Staff was very friendly but the breakfast was a little plain. Neet to get a better coffee bean for the machine.",20,Sep-22,Undisclosed,48,27,Carlton
Great location,"A convenient, friendly hotel.  Not elaborate but nice rooms.  The same goes for the morning buffet.  The staff was very kind.  There were a lot of flight crews checking in and out, so getting service at the reception desk could take a bit of time.",40,Sep-22,Travelled on business,18,14,Carlton
Exceptional Receptionist,"I often come to Singapore as I work for an airline. Carlton hotel offers always a premium service. Their staff even in the busiest moments are always friendly and professional and they try anything possible to please their customers. I would like to highlight how exceptional is Azlina, a reception agent.  She always goes above and beyond finding a solution and displaying incredible professionalism, empathy and love for her job. Thank you",50,Sep-22,Travelled on business,8,2,Carlton
Pricey hotel in a central location,"Located near Chijmes the Carlton is an excellent hotel for business travellers and for vacation. Some of the corner rooms are great, but can be noisy (live music). Infrastructure and food leave little to be desired. Staff are friendly and courteous.",40,Aug-22,Travelled on business,47,50,Carlton
Great location and large rooms,"Stayed one night at this hotel prior to flying to Thailand. Great location next to Raffles hotel and Raffles shopping centre. Staff are lovely and attentive, rooms quite large in size. Wifi is a bit patchy from the rooms but otherwise happy with the cleanliness of the room. Would stay again",40,Sep-22,Travelled with friends,1689,194,Carlton
Terrible Cleanliness,"I stayed here once before and had an enjoyable stay. However, this time I booked a room for my sister and her family but the room was so terrible. The drainage was clogged. I took a shower just only 5 minutes then the floor in toilet bowl area was all wet and bath tile edge seal was mold. Disappointed.",10,Sep-22,Undisclosed,5,0,Carlton
