Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
Fantastic service!,"A superb ambience to end off a Sunday. The Landing Point’s afternoon tea menu never fails to surprise! Everything is so good, from its good to its service. A big thank you to Ms Lotha (hopefully we spelled it correctly) who checks in with us (and other guests) regularly to attend to our needs! Definitely coming back for more!",50,Oct-22,Travelled as a couple,5,0,Fullerton
Very high quality hotel,"Stunning hotel, backed up by outstanding service. The construction and interior design of the Fullerton Bay make it a unique place to stay. The marina location is as central as it gets and the view across the water to MBS is a great one. We stayed in a third floor corner room, which was high spec and with views of the water on two sides. The rooftop pool is a special area for spending time in central Singapore. The Lantern bar is a great vantage point for evening drinks and watching the light show. The hotel feels more relaxed and less touristy than MBS (which works at MBS, not a slight on that experience- certainly also worth checking out). We stayed with our twenty two month old daughter for two nights. Service was exceptionally good and welcoming, though perhaps the vibe is better suited to families at Shangri-La. Two nights at the end of our trip were memorable and we thoroughly enjoyed our stay. Alvin the butler and Indra on reception were particularly helpful, nothing was too much trouble- very welcome when travelling with a toddler and much appreciated. All their colleagues were also very kind. Perhaps best recommended for couples who want a more chilled, but high-end, boutique experience. Five star review an easy decision.…",50,Aug-22,Travelled with family,12,0,Fullerton
Joyful experience,10 stars for service and 10 stars for food! Love the live piano and the ambience here! Thank you Ms Lotha for being accommodating and for your wonderful service!! Would definitely come back with friends and family for future events ,50,Oct-22,Travelled as a couple,4,0,Fullerton
Excellent stay,"Went there for our anni. Room and toilet was big, view was to die for. Warren helped us with our check in and check out. His service was good, made us feel comfortable and we’re looking forward to our next stay. Do head up to the roof in the night as the view of Singapore skyline is so beautiful",50,Oct-22,Travelled as a couple,26,2,Fullerton
great!,MK was our server and he was so so so lovely to us. He was really polite and made sure we were comfortable and had a great time. was super fun would reccomend for a drink. food was good but better for drinks. ,50,Oct-22,Undisclosed,1,0,Fullerton
Awesome high tea!!,"Friendly, thoughtful staff with awesome view! Was served by Lotha and we enjoyed our lunch thoroughly. Definitely recommend for high tea! Good vibes and clean environment. Celebrated my friend’s birthday and we will definitely come back again!",50,Oct-22,Travelled with friends,3,0,Fullerton
A wonderful 16th birthday high tea with goddaughter,"A wonderful afternoon spent at The Landing Point having high tea with goddaughter.   A pink themed selection of food with TWG tea. Love music and well curated background jazz music. A well run outfit from bus-boy to aides led a an awesome hostess, Lotha!",50,Oct-22,Travelled with friends,197,52,Fullerton
Fine dinner at LA Brassiere,"Service excellent, especially the manager JJ . Scrumptious food. We definitely will back again .suitable for fine dining or birthday celebration.nice ambience.highly recommended for friends and relatives",50,Sep-22,Travelled with family,1,0,Fullerton
Honeymoon- best meal of my life,"We came for the F1 brunch. It was excellent! Our host, JJ (and the rest of the staff) was incredibly accommodating. My husband and I had the best meal of our lives, and we are so glad it was on our honeymoon. To the Fullerton: we can’t wait to come back to Singapore and stay for the entirety of our trip, thank you!",50,Oct-22,Travelled as a couple,9,0,Fullerton
What you pay is what you get,"Went there for a staycation to celebrate my birthday. The service starts from entrance all the way to the check-in counter - being escorted throughout and also engaged in some small talks. Service was absolutely top notch. Upon checking in to the room, it was relatively big and clean. The room came with Bose Bluetooth speaker and TV with good selection of cable channels. There's also a small balcony with excellent view where you could chill and admire the scenery. Though the high price tag, I believe that it's truly one of a kind experience. Will definitely return again. ",50,Nov-21,Travelled as a couple,9,7,Fullerton
