Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
Couples looking to stay,"Overall our stay was lovely. The hotel was immaculate and the spread at breakfast was amazing. The pool was also very nice with a great pool side bar. Downsides, however was that we felt the hotel was catered more towards families with children than for couples like us trying to enjoy a break. Last orders at the bar were 9:30pm with the bar completely closing at 10:30pm, often of an evening we wanted to enjoy a drink after we got back from dinner but we couldn't do this. There is also no MRT station nearby which meant we were forced to get taxis everywhere or walk out in the heat ( there was no path out of the hotel).  We also ordered more towels via the in room concierge ( they only gave two small towels per room) and these never arrived.",40,Oct-22,Travelled as a couple,2,0,ShangriLa
Fantastic stay in a great hotel with great staff,"We had a short stay at the Shangri-la on our way to Vietnam but it beca e the highlight of our trip. From the moment we arrived to the moment we left we received amazing service. The people who stood out were Yana on reception and Rajagopal, the  cheif concierge.  Yang went to great effort to find us a room when we checked in early. My wife is disabled and needed a rest but our room wouldn't be ready for some time. Yana negotiated a beautiful upgrade for us a d did everything possible during our stay to make is comfortable for us, especially my wife. Rajagopal was an enormous helper every day, giving advice, booking excursions, finding taxis and much more. I think he had the biggest impact on our stay. Our room was beautifully presented and well maintained.   It was my birthday and we were surprised to find a small birthday cake and card in our room. While we were staying at the hotel they also hosted an enormous international security conference that had a massive impact on the hotel, the staff, guests and the whole city, but staff did as much as they could to minimise impact on other guests.  Make no mistake, this is an expensive hotel, but they provide great service and great rooms. The food is excellent and the environment lovely. …",50,Jun-22,Travelled as a couple,141,63,ShangriLa
Enjoyable stay!,"Shangri-La Singapore has always maintained high standards, and I have to make a special commendation for Siva Sharmah, who has always been extremely proactive, helpful, obliging, with a great customer care attitude.",40,Sep-22,Travelled on business,5,3,ShangriLa
Family Staycation,"Mia Tan, Director of Family Experience, was such a great help letting our children feel so welcome at Shangri-La. The Splash water playground was super fun and the kids goodie bag was such a pleasant surprise when we checked in.  The staff-members at Buds children playground were friendly and Chef Stef at Bake made such a memorable experience for the kids! Thanks so much! We will definitely be back again.",50,Oct-22,Travelled with family,4,0,ShangriLa
Resting on Laurels …….I will not be back,"I visited around ten years ago and the standards of this fine company have dropped at this location. Having been in the hotel business for over 20 years the British GM has lots of work to do……… Observations on this trip to see the Grand Prix.  It seemed to be a surprise to this hotel that the largest event in the City meant it was full! One of the reasons for booking is the regular shuttle to Orchard road for the MRT. However as occupancy has been low they kept the shuttle at only 4 times in the middle of the day. This is critical when competing against all of the many fine Marina Bay properties  Worse was to follow at Breakfast in The Line…….Huge full hotel and guess how many on duty at the egg station…..ONE Chef……I discussed this with him and another colleague was away on holiday ,over the busiest time the hotel has seen in 3 years ! Amazed in a 5 star hotel no bar open after midnight on arriving back from the city …a lost revenue opportunity indeed. Saturday night there was not a single staff member anywhere to be seen including the front desk when we got back! The Pool area is nice….however the Jacuzzi is broken and confirmed to me it had been for sometime by a staff member on duty at the pool…….not very Shangri- La…..I expect better.  Anytime we had issues,there is obviously zero empowerment for the team as all they do is apologise but do nothing ….when my Bill was wrong in checkout ….3 people had to review it before amending. I will not be back on my next trip.…",30,Oct-22,Travelled with family,58,59,ShangriLa
Old school hotel comfort in a garden setting,"I had last stayed at the Shangri - La Hotel  back in 1987 in the Garden Wing and had a wonderful time.  For this brief stay on my way home from Europe I booked a room in the Tower Wing which proved to be just tight, with its most welcome and comfortable bed.   The staff are lovely and the garden setting is a big plus in a city that has grown so much.   I would definitely stay at the Shangri - La again …",50,Sep-22,Travelled solo,148,41,ShangriLa
Pleasant stay,"Husband and I booked this hotel as it seemed reasonably priced in comparison to other 5 star hotels in Singapore. We enjoyed our stay here, ample space in bedroom and bathroom in the tower wing deluxe room. The breakfast buffet was also the best out of the 5 hotels we stayed in during our time in Asia.",40,Sep-22,Travelled as a couple,30,0,ShangriLa
Outstanding,"We have just spent 12 days at the Shangri-La, and were lucky enough to have a room upgrade from the garden wing to the Valley Wing.  Wow, the room was large and fitted out in luxury.  All the staff were very polite, professional and welcoming.   The room upgrade is actually as it says, you don't get the canapés, cocktails etc, only the room, but it is so much better its worth it.  So Thank you to the Shangri-La for upgrading us on our retirement celebration. The pool is stunning, with lush vegetation all round, colourful birds and beautiful view's.  One slight downfall was the amount of young children running around and screaming whilst in the water, sadly parents not being considerate to other guests, not the hotels fault. We didn't eat in the restaurants due to our financial situation, but taxi's to Orchard Road and hawker centres were cheap and plentiful. This has been the nicest hotel we have stayed at in regards to luxury, whereas the Pan Pacific/Mandarin Oriental are more business orientated. The internal of the whole complex is opulent and all the small touches make it so special, admittedly we were in the Valley wing.  The gardens are stunning. We can highly recommend this hotel, rates are very competitive, but eating in is on the high side (we'll for us they are). Thank you Shangri-La, you certainly made our holiday special and thank you Sally for looking after us in the Summit Room. We will certainly be recommending you to friends and hopefully will return in the few years.…",50,Sep-22,Travelled as a couple,12,23,ShangriLa
The best x,"Have stayed here many times over the years. We love the rooms in the older section of the hotel with their large balconies overlooking the pool. Fantastic service, beautiful grounds, nice food options, great location near Orchard Road. Highly recommended X",50,Jul-22,Undisclosed,82,20,ShangriLa
Such beautiful elegance.,"We were having the trip of a lifetime, and Shangri-la did not disappoint. The garden hotel certainly lives up to its name - fabulous extensive gardens planted with palms, orchids and lush borders. Our room in the Garden Wing partly overlooked the massive pool, and partly the gardens. The facilities and service are second to none and there are many in-house eating options. The staff are unfailingly courteous and nothing is too much trouble for them. I could go on with well deserved superlatives, but would just like to mention the Concierge service. Mr Rajagopal Rajkumar and his team were magnificent in booking us some trips. Any issues with the tour company were efficiently ironed out and as a result we enjoyed several wonderful day trips. Their desk was always manned by pleasant smiley faces, albeit masked, and we were very grateful for their presence. Thank you to all at Shangri-la Singapore, we will not forget you.…",50,Sep-22,Travelled as a couple,53,28,ShangriLa
