Review Title,Review Description,Review Rating,Sentiment,Review,scores,compound,SIA_sentiment_type
awesome modern hotel orchard road singapore,nicely located orchard road singapore mins walk mrt stations connects u everywhere lots foods shopping options thou easy locate kind walk detoured path maybe hotel consider sort directional vids guests arrives hotel via mrt,5,2,awesome modern hotel orchard road singaporenicely located orchard road singapore mins walk mrt stations connects u everywhere lots foods shopping options thou easy locate kind walk detoured path maybe hotel consider sort directional vids guests arrives hotel via mrt,"{'neg': 0.0, 'neu': 0.771, 'pos': 0.229, 'compound': 0.886}",0.886,2
great hub explore singapore,brilliant price brilliant location rooms per website suggests small absolutely brilliant hub explore singapore perhaps somewhere stay intend spending lots time room staff attentive helpful robots super cool close metro easy intuitive use,5,2,great hub explore singaporebrilliant price brilliant location rooms per website suggests small absolutely brilliant hub explore singapore perhaps somewhere stay intend spending lots time room staff attentive helpful robots super cool close metro easy intuitive use,"{'neg': 0.0, 'neu': 0.551, 'pos': 0.449, 'compound': 0.9738}",0.9738,2
convenient stay,hotel described newer hotel location beat hotel right orchard really easy get mrt bus grab taxi rooms small everything need bathroom privacy one step away bed traveling someone extremely close probably would felt awkward arrived early morning able store luggage hotel check overall great spot stay visiting singapore,4,2,convenient stayhotel described newer hotel location beat hotel right orchard really easy get mrt bus grab taxi rooms small everything need bathroom privacy one step away bed traveling someone extremely close probably would felt awkward arrived early morning able store luggage hotel check overall great spot stay visiting singapore,"{'neg': 0.029, 'neu': 0.838, 'pos': 0.133, 'compound': 0.7713}",0.7713,2
excellent hotel,clean hotel great facilities gym swimming pool etc location strategic near mrt station cool hotel hi technology bed comfortable amenities great one thing needs improved cleaning performed daily instead every days least collection trash daily overall great perfect fantastic,5,2,excellent hotelclean hotel great facilities gym swimming pool etc location strategic near mrt station cool hotel hi technology bed comfortable amenities great one thing needs improved cleaning performed daily instead every days least collection trash daily overall great perfect fantastic,"{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.9861}",0.9861,2
great location bed nothing else,location accessibility bed one confortable ones ever slept however would recommend yotel clean freak looking maximize facilities hotel literally sleep take shower nothing else due size room hope hotel invests cleanliness adding staff instead fancy robots cannot clean otherwise good stay,3,1,great location bed nothing elselocation accessibility bed one confortable ones ever slept however would recommend yotel clean freak looking maximize facilities hotel literally sleep take shower nothing else due size room hope hotel invests cleanliness adding staff instead fancy robots cannot clean otherwise good stay,"{'neg': 0.091, 'neu': 0.653, 'pos': 0.256, 'compound': 0.8623}",0.8623,2
unimpressed,looking premier inn type stay ok push want nice hotel lovely city book elsewhere robots gimmicky honest complete pain monopolise lifts cause delay minutes funny trying keep appointment,1,0,unimpressedlooking premier inn type stay ok push want nice hotel lovely city book elsewhere robots gimmicky honest complete pain monopolise lifts cause delay minutes funny trying keep appointment,"{'neg': 0.134, 'neu': 0.477, 'pos': 0.389, 'compound': 0.8658}",0.8658,2
yotel sg,cool technologically advanced families would book travelling alone partner big group family hope restaurant opens late bars sg close,4,2,yotel sgcool technologically advanced families would book travelling alone partner big group family hope restaurant opens late bars sg close,"{'neg': 0.084, 'neu': 0.711, 'pos': 0.205, 'compound': 0.4404}",0.4404,2
well located hotel,hotel equipped smart tv suitable mattress would give perfect score room smaller anticipated efficient utilizing space bathroom good location best,4,2,well located hotelhotel equipped smart tv suitable mattress would give perfect score room smaller anticipated efficient utilizing space bathroom good location best,"{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.9545}",0.9545,2
happiest coolest place singapore,amazing hotel beautiful city view great accessibility wonderful location close proximity ion orchard mall metro station bus stand extremely friendly staff really clean rooms lobby great service highly recommend,5,2,happiest coolest place singaporeamazing hotel beautiful city view great accessibility wonderful location close proximity ion orchard mall metro station bus stand extremely friendly staff really clean rooms lobby great service highly recommend,"{'neg': 0.0, 'neu': 0.429, 'pos': 0.571, 'compound': 0.9844}",0.9844,2
highly recommended hotel stay,good location nice room easiest check check experienced hotel ill stay definitely recommend friends need hotel stay visiting singapore,5,2,highly recommended hotel staygood location nice room easiest check check experienced hotel ill stay definitely recommend friends need hotel stay visiting singapore,"{'neg': 0.083, 'neu': 0.444, 'pos': 0.473, 'compound': 0.9041}",0.9041,2
