Review Title,Review Description,Review Rating,Sentiment,Review,scores,compound,SIA_sentiment_type
gone hill big way,staying carlton nights long nights left always speak highly preferred sg hotel convenient time unpleasant long stay stained floors looks like murder taken place disgusting moisture stained damaged roof moisture dripping wall hot water shower morning night regardless time room generally smells like damp musty dungeon everything room feels moist sticky wi fi intermittently works room service cold missing key component meal pool area bar shuts pm appreciate grand prix week star hotel night supposed premier wing basics done right completely unforgivable rooms need much attention nice looking lobby wish could get back hostel would better option least could gotten hot shower,2,0,gone hill big waystaying carlton nights long nights left always speak highly preferred sg hotel convenient time unpleasant long stay stained floors looks like murder taken place disgusting moisture stained damaged roof moisture dripping wall hot water shower morning night regardless time room generally smells like damp musty dungeon everything room feels moist sticky wi fi intermittently works room service cold missing key component meal pool area bar shuts pm appreciate grand prix week star hotel night supposed premier wing basics done right completely unforgivable rooms need much attention nice looking lobby wish could get back hostel would better option least could gotten hot shower,"{'neg': 0.127, 'neu': 0.716, 'pos': 0.157, 'compound': 0.2263}",0.2263,2
great holiday carlton singapore,came back wonderful week singapore stayed carlton first time stay hotel pleasantly surprised asked better location center close proximity mrt stations surrounded shops walking distance museums great places dine specially impressed friendly staff concierge mr ali extremely helpful always greeted us smile gave us map explained everything suggested places dine visit hotel clean sanitisers located everywhere rooms extremely spacious toiletries provided individually wrapped definitely going stay carlton next visit singapore,5,2,great holiday carlton singaporecame back wonderful week singapore stayed carlton first time stay hotel pleasantly surprised asked better location center close proximity mrt stations surrounded shops walking distance museums great places dine specially impressed friendly staff concierge mr ali extremely helpful always greeted us smile gave us map explained everything suggested places dine visit hotel clean sanitisers located everywhere rooms extremely spacious toiletries provided individually wrapped definitely going stay carlton next visit singapore,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.9907}",0.9907,2
excellent hotel,excellent dad teenage sons stayed nights f gp requested rooms close twin beds one room ended getting adjoining rooms fantastic rooms spacious clean comfortable staff friendly helpful made good use gym pool breakfast excellent good location easy get around definitely stay next singapore,5,2,excellent hotelexcellent dad teenage sons stayed nights f gp requested rooms close twin beds one room ended getting adjoining rooms fantastic rooms spacious clean comfortable staff friendly helpful made good use gym pool breakfast excellent good location easy get around definitely stay next singapore,"{'neg': 0.0, 'neu': 0.482, 'pos': 0.518, 'compound': 0.9866}",0.9866,2
business,clean hotel check issue finally got room tried make call get drink milk one answered phones minutes staff friendly breakfast little plain neet get better coffee bean machine,2,0,businessclean hotel check issue finally got room tried make call get drink milk one answered phones minutes staff friendly breakfast little plain neet get better coffee bean machine,"{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.7269}",0.7269,2
great location,convenient friendly hotel elaborate nice rooms goes morning buffet staff kind lot flight crews checking getting service reception desk could take bit time,4,2,great locationconvenient friendly hotel elaborate nice rooms goes morning buffet staff kind lot flight crews checking getting service reception desk could take bit time,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.926}",0.926,2
exceptional receptionist,often come singapore work airline carlton hotel offers always premium service staff even busiest moments always friendly professional try anything possible please customers would like highlight exceptional azlina reception agent always goes beyond finding solution displaying incredible professionalism empathy love job thank,5,2,exceptional receptionistoften come singapore work airline carlton hotel offers always premium service staff even busiest moments always friendly professional try anything possible please customers would like highlight exceptional azlina reception agent always goes beyond finding solution displaying incredible professionalism empathy love job thank,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.9545}",0.9545,2
pricey hotel central location,located near chijmes carlton excellent hotel business travellers vacation corner rooms great noisy live music infrastructure food leave little desired staff friendly courteous,4,2,pricey hotel central locationlocated near chijmes carlton excellent hotel business travellers vacation corner rooms great noisy live music infrastructure food leave little desired staff friendly courteous,"{'neg': 0.077, 'neu': 0.503, 'pos': 0.42, 'compound': 0.9318}",0.9318,2
great location large rooms,stayed one night hotel prior flying thailand great location next raffles hotel raffles shopping centre staff lovely attentive rooms quite large size wifi bit patchy rooms otherwise happy cleanliness room would stay,4,2,great location large roomsstayed one night hotel prior flying thailand great location next raffles hotel raffles shopping centre staff lovely attentive rooms quite large size wifi bit patchy rooms otherwise happy cleanliness room would stay,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.9493}",0.9493,2
terrible cleanliness,stayed enjoyable stay however time booked room sister family room terrible drainage clogged took shower minutes floor toilet bowl area wet bath tile edge seal mold disappointed,1,0,terrible cleanlinessstayed enjoyable stay however time booked room sister family room terrible drainage clogged took shower minutes floor toilet bowl area wet bath tile edge seal mold disappointed,"{'neg': 0.257, 'neu': 0.663, 'pos': 0.08, 'compound': -0.7506}",-0.7506,0
loved stay gorgeous room great location breakfast,fault hotel little worried reviews also knowing older hotel pleasantly surprised find renovated everything experience great positives amazing view great location large buffet breakfast heaps options negatives like singapores star hotels pricey lower end think would definitely recommend stay book room included breakfast,5,2,loved stay gorgeous room great location breakfastfault hotel little worried reviews also knowing older hotel pleasantly surprised find renovated everything experience great positives amazing view great location large buffet breakfast heaps options negatives like singapores star hotels pricey lower end think would definitely recommend stay book room included breakfast,"{'neg': 0.052, 'neu': 0.442, 'pos': 0.506, 'compound': 0.9891}",0.9891,2
