Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:
Alexander's Adventures ,"We we were put in the tiniest room, had to climb over eachother to get to the bathroom, so very helpful when asked for twin beds, and w e got to stay until 6 for checkout, thanks Matthew. Close to shops, food outlets and markets. Probably best suit younger people.",30,Oct-22,Travelled as a couple,53,53
Functional and Efficient!,Very good location with two MRT stations within walking distance. Good working desk. I already knew that the room size was on the small size so this wasn't an issue. Prob could have done with more power charging points (only 2 in one room).,50,Aug-22,Undisclosed,14,0
Good place to stay,"Clean place, good location, very good experience. They have a good price cafe and bar downstairs. Staffs here are friendly and repect guests. Check in is effective and we checked in earlier. Good place to try.",50,Oct-22,Undisclosed,1,0
Very nice,Staff are very attentive and the whole place is super clean and comfortable. Only issue was the storage space was very hard for a 2 week stay with 2 people amd had to get creative to have a liveable space.,40,Oct-22,Travelled as a couple,18,25
"Helpfull staff, good location","Good location, excelent breakfast. The staff were very helpfull. Aisha on reception even took the trouble to help us find the train station and advise us on where to visit on our two day break. The room was small but clean and had all the facilities we required.",40,Sep-22,Travelled as a couple,1,0
Good place to visit,the size of the room is right and clean. Also the staff is very kind and cleans every day. i will be stay more than one week. but i feel very comfortable.I hope that the rest of the stays the same. thanks,50,Oct-22,Travelled solo,52,27
"Singapore is expensive, the Hotel G is probably as good as it gets at the budget end of the market.","Good location, very close to Bugis, 15 minute walk to Little India, 200 metres to the MRT entrance on Bencoolen St. The check in staff are very helpful.  Interesting decor, I'd call it funky industrial. The rooms (numbers 11 and up on each floor) are unusually long and skinny, maybe 8 metres long and 2 metres wide but after an initial WTF you find it works quite well. Avoid rooms 01, a very small and cramped double, and rooms 02 an even smaller and more cramped single. Everything is very clean, the shower is hot, the bed is good. There are no fridges but an ice bucket is available from the bar downstairs.",40,Aug-22,Undisclosed,2,0
Would recommend,"So far so good! Nana did a great job of checking us early and getting us a room after a long flight!!! It is a very clean and modern hotel in a good part of town. Would recommend this for solo and couple travellers, maybe a bit small for families depending on the room",50,Sep-22,Travelled as a couple,371,173
Good Location!,Good location! Walking distance to Bugis and Plaza Singapura. Full of local hawker centre and restaurants around the area. Good for foodies to hunt the local food. Rooms were small but clean and front desk staff wasn't friendly. Overall its one of the best location that I have stayed in Singapore hotels. Rooms for improvement! ,30,Sep-22,Travelled as a couple,1,0
"Great Hotel, Service and near from Bugis and also MRT","- Hotel was great - The staff is very polite, and helpful and clearly explained about the details. - Very clean - Room interior very nice - Breakfast great! - Was staying for 3 night, and very near from business district - Would come back for sure!",50,Sep-22,Travelled on business,14,2
"Comfy, great location and clean.","We had an excellent 6d. stay at Hotel G. Some people complain about the small room size but hey, you are in Singapore! Everything is tidy & clean with an outstanding service by the front desk staff - especially Matthew! Very convenient location with good restaurants around the corner: from tasty paratas, 24/7 great Thai food and great 25 Degrees hamburgers to a succulent steak américain at Ginett. Discount for hotel guests at Ginett and 25 Degrees.",40,Aug-22,Undisclosed,19,0
"Comfortable, clean rooms","We really enjoyed staying in Hotel G. Room was small but comfy and clean. We had a view to Marina Bay Hotel 👍. Wifi worked great. Good location, metro nearby. Full respect and thanks to Matthew who was very helpful and supportive, early check-in was allowed by him. Recommended!",50,Sep-22,Travelled as a couple,5,0
ginett,"dined at ginett with my family for a birthday celebration. ambience and atmosphere was nice and warm. The staff working there was amazing, elevated our dining experience with their attention for details.",50,Sep-22,Travelled with family,37,38
Dissapointing alternative to hotel.,"Is bit hipster/rundown backpackers hostel asking money on level of real hotel. Rooms are interestingly decorated, but very very small. Management is not really trustwothy. Our group left hotel early after first night and booked in much better and convenient IBIS nearby.",20,Aug-22,Travelled on business,2,0
