Review Title,Review Description,Review Rating,Sentiment,Review,scores,compound,SIA_sentiment_type
nice,staff attentive whole place super clean comfortable issue storage space hard week stay people amd get creative liveable space,4,2,nicestaff attentive whole place super clean comfortable issue storage space hard week stay people amd get creative liveable space,"{'neg': 0.05, 'neu': 0.496, 'pos': 0.454, 'compound': 0.9081}",0.9081,2
functional efficient,good location two mrt stations within walking distance good working desk already knew room size small size issue prob could done power charging points one room,5,2,functional efficientgood location two mrt stations within walking distance good working desk already knew room size small size issue prob could done power charging points one room,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.4404}",0.4404,2
helpfull staff good location,good location excelent breakfast staff helpfull aisha reception even took trouble help us find train station advise us visit two day break room small clean facilities required,4,2,helpfull staff good locationgood location excelent breakfast staff helpfull aisha reception even took trouble help us find train station advise us visit two day break room small clean facilities required,"{'neg': 0.073, 'neu': 0.703, 'pos': 0.224, 'compound': 0.6808}",0.6808,2
good place visit,size room right clean also staff kind cleans every day stay one week feel comfortable hope rest stays thanks,5,2,good place visitsize room right clean also staff kind cleans every day stay one week feel comfortable hope rest stays thanks,"{'neg': 0.0, 'neu': 0.453, 'pos': 0.547, 'compound': 0.9524}",0.9524,2
singapore expensive hotel g probably good gets budget end market,good location close bugis minute walk little india metres mrt entrance bencoolen st check staff helpful interesting decor call funky industrial rooms numbers floor unusually long skinny maybe metres long metres wide initial wtf find works quite well avoid rooms small cramped double rooms even smaller cramped single everything clean shower hot bed good fridges ice bucket available bar downstairs,4,2,singapore expensive hotel g probably good gets budget end marketgood location close bugis minute walk little india metres mrt entrance bencoolen st check staff helpful interesting decor call funky industrial rooms numbers floor unusually long skinny maybe metres long metres wide initial wtf find works quite well avoid rooms small cramped double rooms even smaller cramped single everything clean shower hot bed good fridges ice bucket available bar downstairs,"{'neg': 0.092, 'neu': 0.71, 'pos': 0.197, 'compound': 0.8278}",0.8278,2
would recommend,far good nana great job checking us early getting us room long flight clean modern hotel good part town would recommend solo couple travellers maybe bit small families depending room,5,2,would recommendfar good nana great job checking us early getting us room long flight clean modern hotel good part town would recommend solo couple travellers maybe bit small families depending room,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.9337}",0.9337,2
good location,good location walking distance bugis plaza singapura full local hawker centre restaurants around area good foodies hunt local food rooms small clean front desk staff friendly overall one best location stayed singapore hotels rooms improvement,3,1,good locationgood location walking distance bugis plaza singapura full local hawker centre restaurants around area good foodies hunt local food rooms small clean front desk staff friendly overall one best location stayed singapore hotels rooms improvement,"{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.9578}",0.9578,2
great hotel service near bugis also mrt,hotel great staff polite helpful clearly explained details clean room interior nice breakfast great staying night near business district would come back sure,5,2,great hotel service near bugis also mrthotel great staff polite helpful clearly explained details clean room interior nice breakfast great staying night near business district would come back sure,"{'neg': 0.0, 'neu': 0.451, 'pos': 0.549, 'compound': 0.9766}",0.9766,2
comfy great location clean,excellent stay hotel g people complain small room size hey singapore everything tidy clean outstanding service front desk staff especially matthew convenient location good restaurants around corner tasty paratas great thai food great degrees hamburgers succulent steak ricain ginett discount hotel guests ginett degrees,4,2,comfy great location cleanexcellent stay hotel g people complain small room size hey singapore everything tidy clean outstanding service front desk staff especially matthew convenient location good restaurants around corner tasty paratas great thai food great degrees hamburgers succulent steak ricain ginett discount hotel guests ginett degrees,"{'neg': 0.039, 'neu': 0.615, 'pos': 0.345, 'compound': 0.9657}",0.9657,2
comfortable clean rooms,really enjoyed staying hotel g room small comfy clean view marina bay hotel wifi worked great good location metro nearby full respect thanks matthew helpful supportive early check allowed recommended,5,2,comfortable clean roomsreally enjoyed staying hotel g room small comfy clean view marina bay hotel wifi worked great good location metro nearby full respect thanks matthew helpful supportive early check allowed recommended,"{'neg': 0.0, 'neu': 0.386, 'pos': 0.614, 'compound': 0.9831}",0.9831,2
ginett,dined ginett family birthday celebration ambience atmosphere nice warm staff working amazing elevated dining experience attention details,5,2,ginettdined ginett family birthday celebration ambience atmosphere nice warm staff working amazing elevated dining experience attention details,"{'neg': 0.0, 'neu': 0.622, 'pos': 0.378, 'compound': 0.8176}",0.8176,2
dissapointing alternative hotel,bit hipster rundown backpackers hostel asking money level real hotel rooms interestingly decorated small management really trustwothy group left hotel early first night booked much better convenient ibis nearby,2,0,dissapointing alternative hotelbit hipster rundown backpackers hostel asking money level real hotel rooms interestingly decorated small management really trustwothy group left hotel early first night booked much better convenient ibis nearby,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.6808}",0.6808,2
first time singapore,tristan reception nice guy room small large bed good view window everything clean tidy good location planty shopping dinning places around,5,2,first time singaporetristan reception nice guy room small large bed good view window everything clean tidy good location planty shopping dinning places around,"{'neg': 0.0, 'neu': 0.627, 'pos': 0.373, 'compound': 0.8834}",0.8834,2
pleasant stay convenient location,checked night business partner came tremendously smooth easy despite arriving past corrodors bit tight enough full sized hotel trolley pass room budget sized booked single beds toilet right budget travellers bidet quality fixtures toiletries average rainshower option location convenient block away bencoleen mrt stn blocks bugis shopping malls market popular bar downstairs neighnorhood food stalls nearby breakfast option bomb get east asian contemporary options quality espresso duty managers divine personalized attention us especially several oversized,4,2,pleasant stay convenient locationchecked night business partner came tremendously smooth easy despite arriving past corrodors bit tight enough full sized hotel trolley pass room budget sized booked single beds toilet right budget travellers bidet quality fixtures toiletries average rainshower option location convenient block away bencoleen mrt stn blocks bugis shopping malls market popular bar downstairs neighnorhood food stalls nearby breakfast option bomb get east asian contemporary options quality espresso duty managers divine personalized attention us especially several oversized,"{'neg': 0.087, 'neu': 0.773, 'pos': 0.14, 'compound': 0.7076}",0.7076,2
great location great breakfast great stay,friend really enjoyed stay hotel g found location central short walk unique neighborhoods restaurants bars shopping malls also able easily walk marina bay sands gardens bay close three four metro stops different lines making public transport really easy room sensibly laid cute touches comfy bed waterfall shower breakfast also fantastic wide range choices local international western lentil dal especially amazing staff also great especially matthew front desk made us feel welcome check,5,2,great location great breakfast great stayfriend really enjoyed stay hotel g found location central short walk unique neighborhoods restaurants bars shopping malls also able easily walk marina bay sands gardens bay close three four metro stops different lines making public transport really easy room sensibly laid cute touches comfy bed waterfall shower breakfast also fantastic wide range choices local international western lentil dal especially amazing staff also great especially matthew front desk made us feel welcome check,"{'neg': 0.015, 'neu': 0.61, 'pos': 0.375, 'compound': 0.9904}",0.9904,2
choose hotel,rooms small expected shower toilet share space literally could showers using toilet stayed number properties singapore similar price range least favorite also fond neighborhood,2,0,choose hotelrooms small expected shower toilet share space literally could showers using toilet stayed number properties singapore similar price range least favorite also fond neighborhood,"{'neg': 0.083, 'neu': 0.703, 'pos': 0.214, 'compound': 0.4442}",0.4442,2
hotel g stay great,receptionist matthew awesome helpful kind checked bags bags checked rooms early kind enough help us even though check hours room nice clean affordable definitely stay come back,5,2,hotel g stay greatreceptionist matthew awesome helpful kind checked bags bags checked rooms early kind enough help us even though check hours room nice clean affordable definitely stay come back,"{'neg': 0.0, 'neu': 0.461, 'pos': 0.539, 'compound': 0.9738}",0.9738,2
