Review Title,Review Description,Review Rating,Sentiment,Review,scores,compound,SIA_sentiment_type
couples looking stay,overall stay lovely hotel immaculate spread breakfast amazing pool also nice great pool side bar downsides however felt hotel catered towards families children couples like us trying enjoy break last orders bar pm bar completely closing pm often evening wanted enjoy drink got back dinner also mrt station nearby meant forced get taxis everywhere walk heat path hotel also ordered towels via room concierge gave two small towels per room never arrived,4,2,couples looking stayoverall stay lovely hotel immaculate spread breakfast amazing pool also nice great pool side bar downsides however felt hotel catered towards families children couples like us trying enjoy break last orders bar pm bar completely closing pm often evening wanted enjoy drink got back dinner also mrt station nearby meant forced get taxis everywhere walk heat path hotel also ordered towels via room concierge gave two small towels per room never arrived,"{'neg': 0.032, 'neu': 0.714, 'pos': 0.253, 'compound': 0.9657}",0.9657,2
fantastic stay great hotel great staff,short stay shangri la way vietnam beca e highlight trip moment arrived moment left received amazing service people stood yana reception rajagopal cheif concierge yang went great effort find us room checked early wife disabled needed rest room ready time yana negotiated beautiful upgrade us everything possible stay make comfortable us especially wife rajagopal enormous helper every day giving advice booking excursions finding taxis much think biggest impact stay room beautifully presented well maintained birthday surprised find small birthday cake card room staying hotel also hosted enormous international security conference massive impact hotel staff guests whole city staff much could minimise impact guests make mistake expensive hotel provide great service great rooms food excellent environment lovely,5,2,fantastic stay great hotel great staffshort stay shangri la way vietnam beca e highlight trip moment arrived moment left received amazing service people stood yana reception rajagopal cheif concierge yang went great effort find us room checked early wife disabled needed rest room ready time yana negotiated beautiful upgrade us everything possible stay make comfortable us especially wife rajagopal enormous helper every day giving advice booking excursions finding taxis much think biggest impact stay room beautifully presented well maintained birthday surprised find small birthday cake card room staying hotel also hosted enormous international security conference massive impact hotel staff guests whole city staff much could minimise impact guests make mistake expensive hotel provide great service great rooms food excellent environment lovely,"{'neg': 0.015, 'neu': 0.607, 'pos': 0.379, 'compound': 0.9958}",0.9958,2
enjoyable stay,shangri la singapore always maintained high standards make special commendation siva sharmah always extremely proactive helpful obliging great customer care attitude,4,2,enjoyable stayshangri la singapore always maintained high standards make special commendation siva sharmah always extremely proactive helpful obliging great customer care attitude,"{'neg': 0.0, 'neu': 0.456, 'pos': 0.544, 'compound': 0.9588}",0.9588,2
family staycation,mia tan director family experience great help letting children feel welcome shangri la splash water playground super fun kids goodie bag pleasant surprise checked staff members buds children playground friendly chef stef bake made memorable experience kids thanks much definitely back,5,2,family staycationmia tan director family experience great help letting children feel welcome shangri la splash water playground super fun kids goodie bag pleasant surprise checked staff members buds children playground friendly chef stef bake made memorable experience kids thanks much definitely back,"{'neg': 0.0, 'neu': 0.506, 'pos': 0.494, 'compound': 0.9837}",0.9837,2
resting laurels back,visited around ten years ago standards fine company dropped location hotel business years british gm lots work observations trip see grand prix seemed surprise hotel largest event city meant full one reasons booking regular shuttle orchard road mrt however occupancy low kept shuttle times middle day critical competing many fine marina bay properties worse follow breakfast line huge full hotel guess many duty egg station one chef discussed another colleague away holiday busiest time hotel seen years amazed star hotel bar open midnight arriving back city lost revenue opportunity indeed saturday night single staff member anywhere seen including front desk got back pool area nice however jacuzzi broken confirmed sometime staff member duty pool shangri la expect better anytime issues obviously zero empowerment team apologise nothing bill wrong checkout people review amending back next trip,3,1,resting laurels backvisited around ten years ago standards fine company dropped location hotel business years british gm lots work observations trip see grand prix seemed surprise hotel largest event city meant full one reasons booking regular shuttle orchard road mrt however occupancy low kept shuttle times middle day critical competing many fine marina bay properties worse follow breakfast line huge full hotel guess many duty egg station one chef discussed another colleague away holiday busiest time hotel seen years amazed star hotel bar open midnight arriving back city lost revenue opportunity indeed saturday night single staff member anywhere seen including front desk got back pool area nice however jacuzzi broken confirmed sometime staff member duty pool shangri la expect better anytime issues obviously zero empowerment team apologise nothing bill wrong checkout people review amending back next trip,"{'neg': 0.079, 'neu': 0.734, 'pos': 0.187, 'compound': 0.9398}",0.9398,2
old school hotel comfort garden setting,last stayed shangri la hotel back garden wing wonderful time brief stay way home europe booked room tower wing proved tight welcome comfortable bed staff lovely garden setting big plus city grown much would definitely stay shangri la,5,2,old school hotel comfort garden settinglast stayed shangri la hotel back garden wing wonderful time brief stay way home europe booked room tower wing proved tight welcome comfortable bed staff lovely garden setting big plus city grown much would definitely stay shangri la,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.9584}",0.9584,2
pleasant stay,husband booked hotel seemed reasonably priced comparison star hotels singapore enjoyed stay ample space bedroom bathroom tower wing deluxe room breakfast buffet also best hotels stayed time asia,4,2,pleasant stayhusband booked hotel seemed reasonably priced comparison star hotels singapore enjoyed stay ample space bedroom bathroom tower wing deluxe room breakfast buffet also best hotels stayed time asia,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.8957}",0.8957,2
outstanding,spent days shangri la lucky enough room upgrade garden wing valley wing wow room large fitted luxury staff polite professional welcoming room upgrade actually says get canap cocktails etc room much better worth thank shangri la upgrading us retirement celebration pool stunning lush vegetation round colourful birds beautiful view one slight downfall amount young children running around screaming whilst water sadly parents considerate guests hotels fault eat restaurants due financial situation taxi orchard road hawker centres cheap plentiful nicest hotel stayed regards luxury whereas pan pacific mandarin oriental business orientated internal whole complex opulent small touches make special admittedly valley wing gardens stunning highly recommend hotel rates competitive eating high side us thank shangri la certainly made holiday special thank sally looking us summit room certainly recommending friends hopefully return years,5,2,outstandingspent days shangri la lucky enough room upgrade garden wing valley wing wow room large fitted luxury staff polite professional welcoming room upgrade actually says get canap cocktails etc room much better worth thank shangri la upgrading us retirement celebration pool stunning lush vegetation round colourful birds beautiful view one slight downfall amount young children running around screaming whilst water sadly parents considerate guests hotels fault eat restaurants due financial situation taxi orchard road hawker centres cheap plentiful nicest hotel stayed regards luxury whereas pan pacific mandarin oriental business orientated internal whole complex opulent small touches make special admittedly valley wing gardens stunning highly recommend hotel rates competitive eating high side us thank shangri la certainly made holiday special thank sally looking us summit room certainly recommending friends hopefully return years,"{'neg': 0.046, 'neu': 0.608, 'pos': 0.345, 'compound': 0.9932}",0.9932,2
best x,stayed many times years love rooms older section hotel large balconies overlooking pool fantastic service beautiful grounds nice food options great location near orchard road highly recommended x,5,2,best xstayed many times years love rooms older section hotel large balconies overlooking pool fantastic service beautiful grounds nice food options great location near orchard road highly recommended x,"{'neg': 0.0, 'neu': 0.458, 'pos': 0.542, 'compound': 0.9774}",0.9774,2
beautiful elegance,trip lifetime shangri la disappoint garden hotel certainly lives name fabulous extensive gardens planted palms orchids lush borders room garden wing partly overlooked massive pool partly gardens facilities service second none many house eating options staff unfailingly courteous nothing much trouble could go well deserved superlatives would like mention concierge service mr rajagopal rajkumar team magnificent booking us trips issues tour company efficiently ironed result enjoyed several wonderful day trips desk always manned pleasant smiley faces albeit masked grateful presence thank shangri la singapore forget,5,2,beautiful elegancetrip lifetime shangri la disappoint garden hotel certainly lives name fabulous extensive gardens planted palms orchids lush borders room garden wing partly overlooked massive pool partly gardens facilities service second none many house eating options staff unfailingly courteous nothing much trouble could go well deserved superlatives would like mention concierge service mr rajagopal rajkumar team magnificent booking us trips issues tour company efficiently ironed result enjoyed several wonderful day trips desk always manned pleasant smiley faces albeit masked grateful presence thank shangri la singapore forget,"{'neg': 0.039, 'neu': 0.573, 'pos': 0.389, 'compound': 0.9903}",0.9903,2
