Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:
Hotel Orchard Road Singapore,"All facets of experience staying at Yotel Orchard Road Singapore were excellent, from booking through, checking in, enjoying the room and it's facilities to checking out. A totally pleasant experience. Highly recommended for discerning travellers. ",50,Oct-22,Undisclosed,9,6
Great hub to explore Singapore from,"Brilliant price in a brilliant location. Rooms are as per the website suggests - small. An absolutely brilliant hub to explore Singapore from, but perhaps not somewhere to stay if you intend on spending lots of time in the room itself. Staff were very attentive and helpful. Robots were super cool!! Very close to the metro, which is very easy and intuitive to use.",50,Aug-22,Travelled as a couple,15,3
good location hotel,"good location hotel, highly recommended hotel. staffs are very friendly and accommodating. food at the 10th floor restaurant was good, unfortunately we only tried it ones, wish we ate there more often. we checked out at 11am and we had our luggages deposited at the concierge, and in the afternoon before leaving the hotel, we were able to use the lobby bathroom to freshen up, though we were told that we can even take a shower at the 10th floor before leaving if we wanted too, thats a big plus especially for travelers who has a late flight schedule. ",50,Oct-22,Undisclosed,1,0
Nice place to stay,The hotel is really nice and cool at the same time that includes the robot to lessen the physical contact since we're still at the covid era. Really worth the money. We chose the adjoining room since we're 6 of us in the family. And the location of the hotel is pretty good too.,50,Oct-22,Undisclosed,2,0
Short getaway with friends,"Great stay and would definitely stay here again. Location is convenient, easy access to public transport. Comfortable bed and room cleanliness is great. Wide range of TV channels to watch while relaxing in the room.",50,Oct-22,Undisclosed,1,0
Compact Cribs,"Whilst this is a compact room it has everything you need. Nice and clean and fresh and super comfy beds.  Perfect location for shopping on orchard road, we loved it and would stay again.  Breakfast was great with so many options to choose from.",40,Oct-22,Undisclosed,1,0
Awesome Modern Hotel in Orchard Road of Singapore,Nicely located in the Orchard Road of Singapore. just 2-3mins walk to MRT stations that connects u everywhere. Lots of foods and shopping options. Thou it was not that easy to locate it kind of walk detoured path. Maybe the hotel can consider some sort of directional vids for those guests who arrives to the hotel via the MRT. ,50,Oct-22,Undisclosed,196,67
Convenient Stay,"The hotel is as described. It’s a newer hotel and the location can’t be beat. The hotel is right on orchard and really easy to get to the mrt, bus or grab a taxi. The rooms are very small but has everything you need. The bathroom has privacy but is one step away from the bed. If I was traveling with someone that I wasn’t extremely close with then I probably would have felt awkward. We arrived early in the morning and were able to store our luggage at the hotel until check in. Overall, it’s a great spot to stay when visiting Singapore.",40,Oct-22,Travelled as a couple,5,0
Excellent Hotel,"clean hotel with great facilities (gym, swimming pool, etc.). the location is very strategic and near to MRT station. it is a cool hotel with hi technology. the bed was very comfortable. the amenities was great.  one thing that needs to be improved is the cleaning should be performed daily instead of every 3 days, at least any collection for trash daily. overall was great, perfect and fantastic.",50,Oct-22,Undisclosed,3,4
"Great location, bed. Nothing else","10/10 for location and accessibility. Bed was one of the most confortable ones I’ve ever slept in. However I would not recommend Yotel if you are a clean freak or looking to maximize the facilities in a hotel. All you can do are literally sleep and take a shower and nothing else, due to the size of the room. Hope the hotel invests in cleanliness / adding staff, instead of fancy robots who cannot clean. but otherwise had a good stay. ",30,Sep-22,Undisclosed,1,0
Unimpressed.,"If you are looking for a 'Premier Inn' type of stay then it's OK - at a push. If you want a nice hotel, in a lovely city, book elsewhere. The robots are gimmicky and to be honest, a complete pain, as they monopolise the lifts and cause you a delay of up to 4 minutes - not funny if you are trying to keep to an appointment.",10,Sep-22,Travelled on business,2,0
Yotel SG 2022,Very cool and technologically advanced but not for families. I would book it again it if I was travelling alone or with a partner but not when a big group or with a family. I hope the restaurant opens until late (after 12AM) because most bars in SG close at 12.,40,Oct-22,Undisclosed,1,0
Very well located hotel!,"If the hotel is equipped with a smart TV and more suitable mattress, I would give it a perfect score. The room is smaller than I anticipated so we have to be very efficient on utilizing the space. The bathroom is good and the location is the best.",40,Oct-22,Undisclosed,2,0
The happiest coolest place in Singapore,"An amazing hotel with a beautiful city view, Great accessibility and in the most wonderful location. Close proximity to ion orchard mall, metro station, bus stand. Extremely friendly staff and really clean rooms and lobby. Great service. Highly recommend",50,Aug-22,Undisclosed,1,0
Highly recommended hotel to stay,Good location and very nice room.  The easiest check in and check out i have experienced in a hotel.  Ill stay again and will definitely recommend to friends when they need a hotel to stay in when visiting singapore.,50,Sep-22,Undisclosed,1,0
Good location,"Very good location, rooms are small and beds not so comfortable but the room is very clean.i would go back for sure. Just right across ion orchard, plenty of restaurants around the area. Very near the mrt station.",40,Sep-22,Undisclosed,1,0
Quite Content,"The location is good. The best aspect for our stay this time. Service is also good, adding robot is a  interesting attraction. The (large) bed condition is questionable though... and we really wish the house keeping department can help vacuum the room every day. When women stay together, there will be lots of hair fall on the floor.",30,Sep-22,Undisclosed,3,2
Fabulous cool hotel in perfect location,"We were 3 and we booked the room with bunkbed. I absolutely love my bunkbed! Beds are comfortable, hotel and room were soooo clean! Komyuniti is superb with helpful staffs, ANNIE especially. Thank you ANNIE! 🌹 Breakfast has lots of varieties, since we stayed there for 7days. Congee is a must try! 🫕  adorable YOSHI AND YOLANDA!   They cleaned the rooms every 3days, sheets are comfy too. Malls are surrounding the hotel, vibrant place to stay.  Easy checkout.  Can’t wait to come back!",50,Sep-22,Travelled with family,14,12
Great location and stay,The location was easy to get around in Singapore. MRT and buses are nearby to get to the main attractions. Convenience stores were nearby as well so it was easy to pick up snacks and a sim card. The queen city view room was good value.,50,Sep-22,Undisclosed,1,0
Would return for business trips.,"Location was great - right in the centre of the shopping district. Good amenities were provided, and the service was impeccable. I'd left an item behind, and was contacted within the same day by the staff. ",50,Sep-22,Travelled on business,1,0
Pleasent stay.,"Had a top floor balcony  city view room. Was cleaned and changed every day of stay. We stayed a week. Had issue with the sink plug not working on 2 nd night of our stay. Was sorted very quickly as was the air con unit which need a new filter. Bed and pillows very comfortable. Only issue for the whole stay was other guests not wearing masks in the small lifts. Robots delivering room service  entertained me, so cool.",50,Sep-22,Undisclosed,1,0
Good Location,It was a good stay and comfortable. Location is fantastic.service is fast. I wish the rooms were a bit bigger for families like us.gym and swimming are also okay.A bit on the expensive site mostly due to oocation.,40,Sep-22,Undisclosed,2,0
Not suitable for families,"While this hotel has a fantastic location, the hotel is not interested in catering for families.  When we booked our two rooms, I requested interconnecting rooms.  When we arrived at check in, I specified again that we wanted interconnecting rooms. The guy said he couldn’t tell yet if they were interconnecting. He rushed us through the whole check in process - when I asked again when he handed us the keys, he said he didn’t know if they were interconnecting. When we got to our rooms, we found that they weren’t interconnecting.   This hotel is definitely not suited to families, unless you want to spend a whole lot of time split in two groups.",20,Sep-22,Undisclosed,6,9
New hotel,"The room was small, but still it was a pleasant stay over all. It is near MRT Orchard station, by passing by the ION Patterson Link. Bus station is also near, and easily found by Grab.   Easy check in and check out via the kiosks on the hotel entrance.  Overall, it is located in a convenient location 🙂",50,Sep-22,Travelled on business,3,0
Not a pleasant stay,Should Maintenace hotel room in good quality conditions. (After years)  Floors are not proper vacuum. There is no face towels and hand towel provided in the room when checked in.  1) Went down to the reception counter for face towels and hand towel. Realized after I was given a floor towel.  2) Next given a hand towel with stains. (Unacceptable and unprofessional)  ,20,Sep-22,Undisclosed,1,0
A cool experience,Everything is expensive in Singapore. Looking for a reasonable priced hotel to stay that is near orchard is not easy. Yotel is a compact yet well designed hotel that satisfies this requirement. Overall a wonderful experience. ,40,Sep-22,Undisclosed,1,0
"No cleaning while you stay, bathroom block the view","No cleaning while I had stay for 4 days. I had to aske to clean the floor but the bin I had to clean on my own. For 4 days stay, the bathroom was dirty. and the bathroom block the view. It was too small for 2 persons. I had to have my tea in the bathroom because the room was full of stuffs. ",20,Sep-22,Travelled on business,1,0
Cool hotel,Easy online check-in and staff was very helpful to assist us. Essentials were readily available in the cute room and love the bed with clean white beddings. Just want to suggest to have a garbage can in the restroom and cleaning the rooms should be every 2 days. Amazed by the speedy  delivery of requested items  by the robots. ,40,Sep-22,Undisclosed,1,0
YOTEL AMAZING!,Yotel is a very good place to stay in! Love the accomodation! Perfect for couples! Love the way their staff assist us. Great stay! Good food! Fast wifi!! Our honeymoon has been amazing because of them! Thank you!!,50,Sep-22,Undisclosed,1,0
A futuristic cabin,"Self-check-in on the computer at the hotel lobby. Robot will send you extra water or a coffee cup to replace the housekeeping. However, you are still able to feel the warm in this hotel from the friendly and helpful staff.  ",40,Sep-22,Travelled on business,1,0
Average stay,Great location in the center of the high-end shopping district. Compact rooms. Friendly and helpful staff. Terrible beds- poor quality mattress that couldnt be changed so instead they came to put a wood plank on top of the mattress.,30,Sep-22,Undisclosed,1,0
Great place to stay,"Great little hotel in a great location. Yes, the rooms are small but very manageable.   Staff are amazing. I would definitely stay again at this hotel.   Breakfast had a good selection, just be wary of your booking if it supplies breakfast as most of the bookings are for 1 person, meaning 1 free breakfast only even if two of you are in the room.   MRT is a 5 min walk on orchard road.",50,Sep-22,Travelled as a couple,32,23
The room is really smalll,"It's not everyday cleaning room, and the room is so small, just the location convenient and smart devices. Need to call for refill water or change towel everyday. I think it's suitable for 2 ppl and short staying only. ",30,Sep-22,Undisclosed,1,0
Rude manager and unhelpful front desk,"While the location was good, the first impression of the hotel was horrible as I met with staff seated in-front dressed in a brown coat. He was rude and unhelpful when approached. I tried asking him about baggage storage as I arrived earlier than the check-in time. Without listening to my concern, he brushed me off and gave an unwarranted response by saying, ""early check-in is SGD100"". Was this really necessary when the customer was not even requesting for that? That left such a horrible first impression on the hotel. Indeed, during check-out, he came by and snapped to rush the process when there were no one else doing check out. He acted as if the customer should by heart know the steps to perform self check out without even reading the screen. Please train or improve the…",10,Sep-22,Undisclosed,1,0
Great value for money hotel in perfect location,"I thought the hotel looked cool and something a little bit different from the norm. It was a lot cheaper than the other hotels but definitely did not feel like a compromise.  Hotel is in a great location, it's clean and modern, staff are always friendly. Good selection of food at any time of the day - I recommend the lunch deal if you are spending the day at the hotel. Room was clean, and quiet, loved the rain shower and the views from the balcony. Pool and gym were a good size. Overall great experience and would definitely stay at Yotel again.",50,Sep-22,Undisclosed,1,0
Our Singapore stay,"Overall, very comfortable room and excellent location close to Orchard and Scotts Road. Customer service from Mission Control was excellent and staff very willing to assist. Only gripe was that room wasn't serviced daily. ",40,Sep-22,Undisclosed,1,0
Amazing service,"Staff noticed that it was my birthday even though I did not bring up about it, when I was keying in my email which has '1709' in it and my stay was from 16 - 18 September, appreciated that she noticed! Staff later on sent me a birthday card with eclairs to my room :)",50,Sep-22,Undisclosed,1,0
Great Stay!,"Excellent location, breakfast was great (variety of menu during our stay) and it is value for money. Close to Orchard Road shops and the golf shop at Isetan. Definitely, we will stay here again and recommend to pur friends.",40,Sep-22,Undisclosed,1,0
Great Hotel designed for the traveler,"This Hotel is designed by someone who knows what is really needed. Very clean and functional comfortable room. Has everything needed including free drinking water, tea, coffee, iron & board, hair dryer, plenty of outlets including usb, plenty hot water, good size shower, a bed that's very comfortable, pool, gym, restaurant and Yolanda and Josi the robots. What is the icing on the cake is the great staff, always a smile and always there to assist you.. Thank You",50,Sep-22,Undisclosed,28,50
Enjoying vacation & stay,"Pleasant stay since it was a strategic location near shopping malls, cafe, restaurant and mrt station (within a walking distance). The room was very clean, modern design and the toilet was fantastic for views of modern cities. The room was small but conducive and quiet.",40,Sep-22,Undisclosed,1,0
Yotel Stay for a family of six - September 2022,"We had a great time at Yotel! It's conveniently located along Orchard road near the big malls. Just a 4-5 minute walk from the train station. The rooms we had were nicely sleek and modern. The beds were super comfy especially after a long day of walking. Our rooms were adjoined, so it's an added bonus for us. Expect the rooms to be a bit cramped though; but everything you might need in a hotel room is there. Will surely consider Yotel again when we're back in Singapore :)",50,Sep-22,Undisclosed,5,0
HEYYY WHAT THE HELL??,YOUR HOTEL IS SOOOO GOOOD WE HIGHLY  ENJOYED OUR STAY  IN SINGAPORE.  I miss yolaanda robot singin already.   We will surely be back in this hotel when we visit singapore again okay??? Don't change your quality of service!,50,Sep-22,Undisclosed,1,0
The perfect hotel for quick business travelers,"Extremely modern, very clean and super-efficient. Robot-served supplies are so much better than humans. Easily reached by public transport and the location is very strategic...can't go wrong with this facility!",40,Sep-22,Travelled on business,6,0
Stay at Yotel,"Jaypee and Mai’s service are outstanding.. and the other lady with specs.. Not all staff are keen to help but the 3 stood up.   Please change your luggage weighing device, I know its an added service but it is really helpful with your guests",50,Sep-22,Undisclosed,1,0
SMALL BUT WELL EQUIPPED ROOM,"Small hotel off orchard rd, clean and modern. Finding taxi or grab could be really hard sometimes. Room only cleaned every 3 days. Pool is just average, nothing special. But you can find ice machine near pool lift. Staff is friendly and helpful, but most of the things you are encouraged to self serve. Such as do your own check in, room key and check out. ",40,Aug-22,Undisclosed,6,2
Great hotel to do a sightseeing trip,"Because it’s located so close to the center of the city, it’s easy to get to the famous sights very quickly. Hotel is very modern and futuristic. Perfect for young people! Was a very good experience and really comfortable.",40,Sep-22,Undisclosed,1,0
Perfect place to stay,"Location is perfect and is very convinient! Room is perfect, bed linen very good and the bathroom is great! Breakfast and other meals are good and convinient cost! TV with variety of channels and wif very strong and fast!",50,Aug-22,Travelled on business,27,25
worst hotel ever,"One of the worst hotels ever. I did not expect this hotel to be of such a poor standard and lacks privacy and shocking room size, which is not suitable for human use. My advice to everyone who seeks privacy, comfort and cleanliness is to stay away from this hotel and the only positive thing is that it is close to Orchard Street.",10,Sep-22,Undisclosed,2,0
Great stay in a great location,"Had the pleasure of staying in this affordable hotel. Was In a very good location close to the Orchard Rd shopping junction and MRT. The room was clean and served its purpose great, it is however a bit small. Our balcony on the highest level had a fantastic view especially at night. The pool was great for a swim after walking around all day, nothing spectacular but nice, and the cocktails from Komunity bar were also nice and not too expensive. The staff were also very helpful, helped with check in, kept our bags stored away on day of check out (as our flight was late at night) and organised a taxi whenever needed! ",40,Sep-22,Undisclosed,1,0
Raymond Liew,"In total I have informed 3 of my oversea guests book Yotel.  They are from Italy, South Korea and Australia.  Overall I'm happy with room rate and location. My room 2014 the shower water cannot select cold or hot water.  The water is always hot, but it is ok for me as I like to take hot shower.  Range of foods for breakfast rooms to improve. ",30,Sep-22,Travelled on business,1,0
"Tiny compact room, novel room arrangement but not everything worked","the hotel room I had was with reclined bed, it might be good for watching TV but not ideal for normal sleeping; the hotel features 2 robots that supposedly bring stuffs to your room and you can pet them, while they appear working the staff said they're sadly broken. Staff generally very responsive and I like that I can print documents for business right at the lobby with no additional charges.",30,Sep-22,Travelled on business,1,0
Quirky Hotel,"Self check in is a bit of a hassle but it was a good experience! Stayed here with my sister and niece. Room is small as expected but I really like the bunk bed (good experience too!) The staffs are really friendly. They gave me a birthday card and some macaroons ♥️ Overall, quirky hotel and would stay here again 😄   PROS - Strategic location - toilet has bidet - many channels for the tv - they have mini fridge - iron and ironing board provided in the room  CONS - Room is really small but it was alright - The floor is slightly dirty - Slow shower drain after 3 days",40,Aug-22,Travelled with family,33,5
Great location. Friendly and helpful staff. Value for money,"Stayed there for 6 nights and I must say this hotel has the most efficient self check-in system in place. It look only 5 minute (or less).  All the staff are so friendly and helpful. Always with a smile on their face.  Room is a little small and the cleanliness has rooms for improvements.  But overall, pretty good experience. Good for solor or couple travellers.  ",40,Aug-22,Undisclosed,4,0
Family Staycation,Good and comfortable stay Bedding is good and the bathroom is clean and nice. Perfectly great for guest who like to stay in the heart of the orchard area .  Plenty of food options around. Recommended for those Japanese food stuff lover as isetan selling all variety of Japanese specialties   ,40,Sep-22,Undisclosed,3,3
Small rooms with BIG features,"This futuristic-concept hotel offered a lot of surprising elements that maximized the small space.   Check-in was quick and easy, thanks to the self-check that allowed you to book, retrieve booking, register and take your key yourself. A staff was always on hand to assist. For those on the more “traditional” sense, other counters are also on hand to check-in with the staff.   Room 2312 was my room number for this trip. Yes, it was small but it had everything I needed, even space for my large luggage to open.   A wall had the entertainment center but also had integrated clothes hooks, cabinet for ironing board, a cabinet for umbrella (yes!) and a flashlight, a foldout desk, water bottle counter and bottle opener. A bedside table contained the coffee area, a large safe that could…",50,Sep-22,Undisclosed,456,435
Stay at YOTEL,The negative point is that the room is cleaned once every 3 days and the room is small and inconvenient. But it means I chose the wrong hotel because it didn't suit my circumstances of having to work. Everything else was fine.,30,Aug-22,Undisclosed,1,0
Dirty,"the hotel is in a good location but the room are very narrow and too much dirty. For example, I found hairs in the bed  and in the only two drawers that are in the room, and the room was not ever cleaned during my permanence (2 nights)",20,Aug-22,Undisclosed,1,0
Cool and new hotel with great location,"Yotel Singapore  Great things:  * Even the room size is small (like most of the Singapore Hotels) but it functions very well. The smart bed actually offers you more space. And the shower space is big and with open view.  * Self checkin and check out actually easy to do and save a lot of time.  * Gym is open 24 hours and facilities are clean and new.  * They offer iron and the iron board, it’s very business traveler friendly. * The location is amazing, it’s in the center of Orchard Roland and you can basically get everything you want around that area.   I was a bit disappointed about… * I am 160cm woman and I would say the room size works ok if you are solo traveler. But 2 people…. Nah… * The breakfast costs about 22 SGD including tax. And the option is Meh… I would highly…",40,Aug-22,Travelled on business,88,5
Good location but...,"Location is very good, just at the fringe of Orchard and very accessible. Service staff was decent. Bed was not comfortable, and the room was crammed. Bedsheets had some stains on it. Decent if you're going to be out exploring most of the day and just sleeping at night. ",30,Aug-22,Undisclosed,1,0
Bad experience,Aircond turned off itself during sleep. The light in the room is too sensitive to motion and keep turning on and off itself. Disturbed our sleep. Never visit again and not recommending to anyone. Very bad experience,20,Aug-22,Undisclosed,1,0
Good location and price,"Price was really value for money at this location, but had several issues with my stay: 1. left instructions not to have the room refreshed but it happened anyway - did not appreciate my personal things being touched and moved 2. bed is way too soft with no support to speak of 3. air conditioning tends to switch off in the middle of the night due to a motion sensor installed in the room ",30,Aug-22,Travelled on business,55,28
Fun and Trendy Hotel,Amazing Hotel. The location was amazing. The room and facilities were trendy and made a great experience. Price is cheaper than most other hotels in area. Would definitely come again on my next trop to SIngapore.,50,Aug-22,Undisclosed,1,0
Overal very good,I was happy overall with the service and outcome as I had contracted COVID and was confined to my room for 5 days. Eric was proactive in making my stay as comfortable as possible despite the adverse circumstances.,40,Aug-22,Undisclosed,1,0
Best PADs near Orchard shopping area,"Only a walking distance from vibrant shopping area of Orchard road and Mount Elizabeth hospital. The easiest way is to walk across is to go through Shaw center to Marriott Tangs plaza underpass or ION orchard underpass. It is a well maintained hotel with minimum number of staff who are smart, efficient & cooperative. Small rooms or PADs are equipped with all amenities desirable like small safe, hairdryer, ironing and tea/coffee facilities. They also put an umbrella in the room in case it’s raining ☔️ outside. City view bathroom with hot shower. Quite rooms with comfy beds and a good night’s sleep 💤. It’s also got a pool 🏊‍♂️ and gym 🏋️‍♀️ on the tenth floor, though due to lack of time couldn’t experience this time. Would certainly recommend YOTEL Orchard for couple’s visiting…",40,Aug-22,Travelled as a couple,63,50
Good location.,Good location. Rooms are quite small but good enough to just sleep on. Can improve on the every 2 to 3 days room cleaning and minor refurbishments on the room. Value for money if booked through 3rd party booking sites.  ,40,Aug-22,Undisclosed,1,0
Meh. Bad sleep.,"This hotel looks cool and is in a good location but it’s horrible on the fundamentals.   The bed is soooo bad. Zero support. No springs and horrible foam. If you sleep on the side, it sinks down like a pillow and you are sleeping on a slant. It only works if you are single and sleeping in the middle of the bed.   The service is horrible. The people are unfriendly, don’t speak and could care less. When I complained about the bed, the lady offered another bed (which was exactly the same) in another room, or to put a wooden board under the bed. She finally apologized and was somewhat empathic when there was nothing she could do and I was walking away. Otherwise zero acknowledgment from all staff. You are invisible.   Breakfast is horrible. Bland and not worth it. Go out. The…",10,Aug-22,Travelled with friends,7,0
Location was fantastic but rooms needed to be made over more often,"Great location! At the price point the hotel has offered, it is fantastic. Staff polite and helpful. Rooms a bit small but well designed. However rooms only cleaned every three days. Was only told when I asked. Was not given the information sheet. Becomes an issue especially when bin becomes too full, wet towels and because of the size of the room, the bed is more used but less cleaned.",40,Aug-22,Undisclosed,1,0
Overpriced based on our experience,"My partner and I feel we overpaid on our visit. For starters, the Robots down for the entire 6 night stay so had to collect everything we needed from reception, not the worst thing to ever happen but as a hotel that sells the whole robot experience, we felt let down by this. Add watered down soap and no robes in our room also among other things and we really started to question the money we spent. Not an experience all will have I’m sure, but unfortunately what we had. Not awful by any means, just room for improvement. Beds however were very comfortable so at least we got a good nights sleep every night which is the main thing I guess.",30,Aug-22,Undisclosed,7,8
Pretty decent,"Location wise is good,Nearby shopping malls. I’m not sure why there wasn’t any housekeeping done in our room eventhough you have the sign on.   Overall a good stay.  Will only come for short trips, the staffs was helpful and friendly though :) ",40,Aug-22,Undisclosed,1,0
Perfect location! Very pleasant stay,"Perfect location! Clean and Neat! Room is not big but you got everything u need!  Also want to highlight that we had some technical issue in cancelling the duplicated bookings. The director has understood the issue quickly, very effectively communicating with the relevant customer service and resolved the issue promptly! We are very impressed by the efficiency that we see in Yotel! Very pleasant stay",50,Aug-22,Travelled with family,1,0
Excellent Stay,Excellent place and location but could do better with much more space.   Cleanliness is very good and would definitely come back to stay again. Love the simplicity of the room and definitely would hope for more space if possible. ,40,Aug-22,Undisclosed,1,0
Very bad experience,"Very bad experience, customer service is bad, room is bad, very noisy, water clot, when ask to change the room, the front desk seems very unwillingly. There’s a sharp buzzing sound everytime during the night time. It affects our sleep. ",10,Aug-22,Undisclosed,1,0
Sustainable hi-tech hotel,"Highly recommend this hotel for its great location (near MRT), good price, fast check-in/out, hassle-free, AI robot housekeepers was amazing. Food is just right. I had a unique and great experience staying in this hotel.",40,Aug-22,Travelled on business,44,26
"Over-priced, over-valued, under-serviced.","Room is cleaned only once every 3 days, don’t expect to have that bit of info to be pointed out to you on check- in or on the room description. Hand towels were not provided and had to be requested. Don’t expect the front desk to be helpful with anything other than booking your cab.",10,Aug-22,Travelled on business,1,0
Comfy hotel,I love this hotel because of cleanliness and comfort and also location!! Easy to go everywhere.   And near bus stop and MRT and easy to walk to ion.   And the bed is so comfy big window too!! So much fun with yoshi and yolanda ♥️♥️  ,50,Aug-22,Undisclosed,1,0
Nice budget hotel,Surprisingly nice for the price! The room is small but very ergonomically arranged. The highlight is the bathroom. Floor to ceiling windows for the toilet and shower stall and generously proportioned. The shower was large enough for 2 people and the room was clean.  Wi-Fi was good for work and meetings (30+ mbps).  The bar is a rip off and not worth the price for what you’re getting.  Gym was small but decent enough to get a workout in Location was great since you were right by ION Orchard,50,Aug-22,Travelled with friends,7,4
Good Location/Bed & Pillow. Improve cleanliness & facilities maintainance,"The location was excellent (few mins walk to ion & other shopping malls). The bed and pillows were super comfortable. However, the cleanliness must be improved. There was hairs laying around on the floors (suggest to wear in-room slippers immediately) and our towels were stained with mysterious brown stains. The phone should also sing when the robots arrive but it wasn't working. We also had difficulty casting our phone to the TV which works well when I visited other Yotel in Sg.",40,Aug-22,Undisclosed,3,0
very good it was nice to stay at yotel,"It was so fun to stay at yotel, the places its very strategic, the hotel its very clean, the staff is very polite, i love the gym , i love the smart stay at yotel, it was so much of experince that i would share to my relative and friends Thank you YOTEL keep up the good Smart Work 😍",40,Aug-22,Undisclosed,1,0
"Good location, nice view, but that's it","Good location, nice view from the bathroom, but otherwise no advantages. Room unpleasantly small. Breakfast absolutely not worth the price: you always had to wait for things to be replenished, queueing at the coffee machine because only one of 3 was working, no alternative for milk (oats, soy, lactose-free milk...nothing), not enough vegetables or healthy products. For $20 I would have expected much more. Room service was charged but not done, linen and towels was not changed, room not cleaned. It was really unpleasant that the linen and bath towels were not changed even once although we pressed the appropriate button. In the evening we had to use the wet towels, because they did not dry and next day again the same wet thing, for three days. We were too tired to complain to the…",30,Aug-22,Undisclosed,11,8
Bad value for money,"Smelly room, old mattress, no room service, not as bright and friendly looking rooms as on hotel pictures. Tiny rooms with useless layout. Average breakfast. Nice staff though. Location is okay, views are good from the windows.",10,Aug-22,Undisclosed,2,0
"Small rooms, good location","Very good value for money while being in Orchard. Staff were very helpful. Downsides are that the room is very small for 3 adults. Not enough space to put luggage. Glass separating toilet is not translucent enough, can see inside from overhead bunk bed. Rooms are also not cleaned everyday.",40,Jul-22,Undisclosed,2,0
Great Stay,"the hotel location & services, room cleanliness are meeting expectations. The check-in process is via kiosk, as the booking made via Agoda, would need the team to guide us through the check-in process.  As for the 3-days room cleaning policy (room only be cleaned on 3rd days), it's advisable to notify guests up front at booking confirmation stage as the information was not able to share with everyone and explain clearly during the check-in process, a bit messy when group check-in. ",40,Aug-22,Travelled on business,2,0
Good location but room size is small,"The self-check-in process was hassle-free and simple to utilize.   The hotel has an interesting and eccentric decor, however the room was somewhat small.  Robots are used by the hotel to bring all necessary items to your room.   Pro: Excellent location because it is near Orchard Road.   Cons: There aren't many alternatives for breakfast at the hotel, which may be improved.  - The room is cramped and undersized.   Overall, a pleasant stay",30,Apr-22,Travelled as a couple,29,22
Pleasant Stay. Cool Hotel,"Since I started to book into Yotel in 2019, I always make it as my first choice when I visit Singapore. The location is just nice for me and my family for going around places in Orchard. Restaurants and malls are just a short walking distance. The overall is good. Hotel is presentable and cool, rooms are clean and proper, staff are helpful. Highly recommended. ",50,Jul-22,Undisclosed,1,0
Nice location & design,The location was right for me due to the business reason. Every inch of space inside the room (cabin) was very well-thought & useful. Don't forget to use the service from the robot for bottles of water or an extra towel you may need. The sound proofing quality is poor though you can hear your next door or people walking-by easily.,50,Jul-22,Travelled on business,3,2
Great value for money,"YOTEL made my 1st trip to SG so comfy and enjoyable. Accessible location, clean rooms, friendly staff, hassle-free check in/out, and just an overall cool vibe to the hotel. Thanks YOTEL, will come back again!",50,Jul-22,Undisclosed,1,0
Sg Travel,Well recommended  Location is very accessible to mrt / taxi and bus station  Many malls in the area and you can easily book a grab / taxi.  Bathroom was very nice . Bed was super comfy. Will definitely go back,40,Jul-22,Undisclosed,1,0
Impressions of my stay,"It was close to subway and bus stops. Towels, etc. are changed daily if you contact them.I thought the accessibility of the room made it easy to use when I was out of town for meetings or other business. The room was a little small, so that was a disappointing point.",30,Jul-22,Travelled on business,1,0
Confortable stay near Orchard,This place is comfortable and very near Orchard road. Room is a little small but use of space is good. The room is clean. Water is replesihed whenever you need. There is a bunk bed option for families with children.,40,Jul-22,Undisclosed,1,0
Excellent Stay,Small but cosy room. 2nd time staying. The room view is also not blocked by any building in front. Check in was smooth. Shopping area and food choices are nearby. Should extend the checkout timing to noon. ,50,Jul-22,Undisclosed,1,0
Solid 4 star (except cleaning the room after 3rd day),"Stayed in Yotel Orchard from 8-10 July 2022. Stayed in 2428. I get the self check in , robot delivers cold food to the room etc I could not get for receptionist to say “we clean the rooms only after 3 days”. In a post pandemic period where cleaning is crucial , not cleaning the rooms was funny. Funnier is they do not advertise it anywhere especially during booking. Certainly I would not book a hôtel where cleaning is not a priority  Other than that all was okay",40,Jul-22,Travelled solo,2208,408
